42475,ALLAHABAD/BAMHRAULI,25.45,81.73
42477,JAUNPUR,25.75,82.68
42479,VARANASI/BABATPUR,25.45,82.87
42482,GHAZIPUR,25.4,83.55
42483,VARANASI,25.3,83.02
42484,BALLIA,25.75,84.17
42487,ARRAH,25.57,84.67
42488,CHAPRA,25.78,84.73
42492,PATNA,25.6,85.17
42499,SABAUR,25.23,87.07
42500,PURNEA,25.27,87.47
42503,MALDA,25.03,88.13
42511,TURA,25.52,90.23
42512,BARAPANI,25.7,91.97
42515,CHERRAPUNJI,25.25,91.73
42516,SHILLONG,25.57,91.88
42522,HAFLONG,25.17,93.02
42523,LUMDING,25.75,93.18
42527,KOHIMA,25.63,94.17
42539,DEESA,24.2,72.2
42540,MOUNTABU,24.6,72.72
42542,UDAIPUR DABOK,24.62,73.88
42543,UDAIPUR,24.58,73.7
42546,CHITTORGARH,24.88,74.63
42547,NIMACH,24.47,74.9
42552,CHAMBAL/RAWATBHATA,24.92,75.58
42555,JHALAWAR,24.53,76.17
42557,RAJGARH,24,76.72
42559,GUNA,24.65,77.32
42562,TIKAMGARH,24.77,78.83
42567,KHAJURAHO,24.98,79.92
42570,PANNA,24.72,80.17
42571,SATNA,24.57,80.83
42574,REWA,24.53,81.3
42577,SIDHI,24.42,81.87
42587,DALTONGANJ,24.05,84.07
42588,DEHRI,24.92,84.18
42591,GAYA,24.75,84.95
42595,JAMUI,24.93,86.3
42599,DUMKA,24.27,87.25
42603,BERHAMPORE,24.13,88.27
42618,KAILASHAHAR,24.32,92
42623,IMPHAL/TULIHAL,24.77,93.9
42631,NALIYA,23.25,68.85
42634,BHUJ-RUDRAMATA,23.25,69.8
42638,KANDLA AERODROME,23.15,70.12
42639,NEWKANDLA,23,70.22
42643,RADHANPUR,23.83,71.6
42647,AHMADABAD,23.07,72.63
42651,IDAR,23.83,73.03
42652,DUNGARPUR,23.83,73.67
42654,GANDHINAGAR,23.23,72.72
42655,BANSWARA,23.55,74.45
42661,RATLAM,23.32,75.05
42662,UJJAIN,23.18,75.78
42665,SHAJAPUR,23.43,76.32
42667,BHOPAL/BAIRAGHAR,23.28,77.35
42669,VIDISHA,23.53,77.82
42671,SAGAR,23.85,78.75
42672,RAISEN,23.32,77.83
42674,DAMOH,23.83,79.45
42675,JABALPUR,23.2,79.95
42679,UMARIA,23.53,80.88
42693,AMBIKAPUR,23.17,83.25
42699,HAZARIBAGH,23.98,85.37
42703,DHANBAD,23.78,86.43
42705,PURULIA,23.33,86.42
42706,BANKURA,23.38,87.08
42708,SHANTINIKETAN,23.65,87.7
42709,BURDWAN,23.22,87.88
42711,KRISHNANAGAR,23.4,88.52
42714,BAGATI,22.98,88.37
42715,MALANJKHAND,22,80.7
42724,AGARTALA,23.88,91.25
42726,LENGPUI,23.83,92.62
42727,AIJAL,23.73,92.75
42729,MANDVI,22.82,69.27
42730,OKHA,22.48,69.12
42731,DWARKA,22.37,69.08
42737,RAJKOT,22.3,70.78
42740,SURENDRANAGAR,22.73,71.6
42744,VALLABH VIDYANAGAR,22.57,72.93
42748,BARODA AERODROME,22.33,73.27
42751,DOHAD,22.83,74.27
42752,DHAR,22.6,75.3
42753,ALIRAJPUR,22.28,74.4
42754,INDORE,22.72,75.8
42759,KANNOD,22.67,76.73
42763,HOSHANGABAD,22.77,77.77
42767,PACHMARHI,22.47,78.43
42768,CHHINDWARA,22.1,79
42770,NARSINGHPUR,22.95,79.18
42771,SEONI,22.08,79.55
42776,MANDLA,22.58,80.37
42779,PENDRAROAD,22.77,81.9
42782,BILASPUR,22.1,82.17
42783,CHAMPA,22.03,82.7
42790,JASHPURNAGAR,22.88,84.13
42792,SUNDARGARH,22.12,84.03
42793,ROURKELA,22.22,84.88
42795,CHAIBASA,22.55,85.82
42798,JAMSHEDPUR,22.82,86.18
42799,JAMSHEDPUR,22.82,86.18
42803,MIDNAPORE,22.42,87.32
42805,ULUBERIA,22.5,87.95
42807,KOLKATA/ALIPORE,22.53,88.33
42809,KOLKATA/DUM DUM,22.65,88.45
42810,BASIRHAT,22.65,88.87
42811,DIAMONDHARBOUR,22.18,88.2
42812,CANNING,22.25,88.67
42830,PORBANDAR,21.65,69.67
42832,KESHOD,21.32,70.32
42834,AMRELI,21.6,71.22
42837,MAHUVA,21.08,71.78
42838,BHAUNAGAR,21.75,72.2
42840,SURAT,21.2,72.83
42841,BROACH,21.73,73
42846,NANDURBAR,21.33,74.25
42849,KHARGONE,21.82,75.62
42851,JALGAON,21.05,75.57
42855,KHANDWA,21.83,76.37
42860,BETUL,21.87,77.93
42866,NAGPUR(MAYOHOSPITAL),21.15,79.12
42867,NAGPUR SONEGAON,21.1,79.05
42871,GONDIA,21.47,80.2
42872,MANA,21.23,81.65
42874,PBO RAIPUR,21.23,81.65
42875,RAIPUR,21.22,81.67
42876,DURG,21.18,81.28
42883,SAMBALPUR,21.47,83.97
42884,RAIGARH,21.88,83.38
42886,JHARSIGUDA,21.92,84.08
42891,KEONGJHARGARH,21.62,85.52
42894,BARIPADA,21.93,86.77
42895,BALASORE,21.52,86.93
42900,CONTAI,21.78,87.75
42901,DIGHA,21.62,87.5
42903,SAGAR ISLAND,21.65,88.05
42909,VERAVAL,20.9,70.37
42914,DIU,20.72,70.92
42915,BULSAR,20.62,72.93
42916,DAMAN,20.42,72.85
42920,NASIKOZAR,20.13,73.92
42921,NASIKCITY,19.97,73.82
2925,MALEGAON,20.55,74.53
42931,BULDANA,20.53,76.23
42933,M.O.AKOLA,20.7,77.03
42934,AKOLA,20.7,77.07
42935,WASHIM,20.12,77.13
42937,AMRAOTI,20.93,77.78
42939,WARDHA,20.67,78.58
42943,YEOTMAL,20.4,78.15
42946,BRAMHAPURI,20.6,79.85
42948,RAJNANDGAON,21.1,81.03
42953,KANKER,20.27,81.48
42961,TITLAGARH,20.3,83.3
42963,BOLANGIR,20.7,83.5
42966,PHULBANI,20.48,84.27
42969,ANGUL,20.83,85.1
42970,CUTTACK,20.47,85.93
42971,BHUBANESHWAR,20.25,85.83
42973,CHANDBALI,20.78,86.73
42976,PARADIP(C.W.R.),20.3,86.68
42977,SANDHEADS,20.85,88.25
43001,DAHANU,19.97,72.72
43002,BOMBAY/JUHU,19.12,72.83
43003,BOMBAY/SANTACRUZ,19.12,72.85
43005,T.B.I.A,19.15,72
43009,AHMADNAGAR,19.08,74.8
43011,BIR,19,75.72
43012,JALNA,19.83,75.8
43013,AURANGABAD,19.88,75.33
43017,PARBHANI,19.13,76.83
43019,PUSAD,19.92,77.58
43021,NANDED,19.08,77.33
43022,PRIYADARSHINI,19.75,78.03
43025,ADILABAD,19.65,78.53
43029,CHANDRAPUR,19.97,79.3
43041,JAGDALPUR,19.08,82.03
43042,BHAWANIPATNA,19.92,83.18
43049,GOPALPUR,19.27,84.88
43053,PURI,19.8,85.82
43057,BOMBAY/COLABA,18.9,72.82
43058,ALIBAG,18.63,72.87
43060,MATHERAN,18.98,73.28
43061,KHANDALA,18.77,73.37
43062,BHIRA,18.45,73.4
43063,PUNE,18.53,73.85
3067,PASHANCTI,18.53,73.85
43069,BARAMATI,18.15,74.58
43071,JEUR,18.2,75.2
43076,UDGIR,18.07,77.12
43081,NIZAMABAD,18.67,78.1
43083,MEDAK,18.05,78.27
43086,RAMGUNDAM,18.77,79.43
43087,HANAMKONDA,18.02,79.57
43089,SIRONCHA,18.85,79.97
43093,BAILADILA,18.58,81.23
43097,KORAPUT,18.82,82.72
43105,KALINGAPATAM,18.33,84.13
43109,HARNAI,17.82,73.1
43110,RATNAGIRI,16.98,73.33
43111,MAHABALESHWAR,17.93,73.67
43113,SATARA,17.52,74.05
43117,SHOLAPUR,17.67,75.9
43121,GULBARGA,17.35,76.85
43125,BIDAR,17.92,77.53
43128,HYDERABAD AIRPORT,17.45,78.47
43133,NALGONDA,17,79.25
43136,BHADRACHALAM,17.67,80.88
43137,KHAMMAM,17.25,80.15
43147,TUNI,17.35,82.55
43149,VISHAKHAPATNAM,17.72,83.3
43150,VISHAKHAPATNAM/WALTAIR,17.68,83.3
43153,DEVGARH,16.38,73.35
43157,KOLHAPUR,16.7,74.23
43158,SANGLI,16.85,74.6
43160,BAGALKOTE,16.7,75.75
43161,BIJAPUR,16.82,75.72
43168,MAHABUBNAGAR,16.75,78
43169,RAICHUR,16.25,77.33
43177,RENTACHINTALA,16.57,79.55
43180,VIJAYAWADA,16.52,80.62
43181,VIJAYAWADA/GANNAVARAM,16.53,80.8
43182,NANDIGAMA,16.78,80.28
43184,NIDADAVOLE,16.83,81.58
43187,NARSAPUR,16.43,81.7
43189,KAKINADA,16.95,82.23
43192,GOA/PANJIM,15.48,73.82
43193,VENGURLA,15.87,73.63
43194,GOA/DABOLIM AIRPORT,15.38,73.82
43196,MORMUGAO,15.42,73.78
43197,BELGAUM,15.85,74.53
43198,BELGAUM/SAMBRE,15.85,74.62
43200,DHARWAD,15.48,74.98
43201,GADAG,15.42,75.63
43205,BELLARY,15.15,76.85
43207,PARANGIPETTAI,11.5,79.77
43212,NANDYAL,15.47,78.48
43213,KURNOOL,15.8,78.07
43220,BAPATLA,15.9,80.47
43221,ONGOLE,15.48,80.08
43225,KARWAR,14.78,74.13
43226,HONAVAR,14.28,74.45
43227,HAVERI,14.78,75.4
43228,KOPPAL,15.35,76.15
43229,SHIRALI,14.07,74.53
43230,DAVANGERE,14.5,75.92
43233,CHITRADURGA,14.23,76.43
43237,PBO ANANTAPUR,14.58,77.63
43241,CUDDAPAH,14.48,78.83
43243,KAVALI,14.92,80
43245,NELLORE,14.45,79.98
43257,AGUMBE EMO,13.5,75.08
43258,SHIMOGA,13.93,75.63
43259,BALEHONUR,13.37,75.45
43260,CHICKMAGALUR,13.25,75.75
43263,HASSAN,12.97,76.33
43264,CHIKKANAHALLI,13.67,77.92
43271,AROGYAVARAM,13.53,78.5
43272,CHINTAMANI,13.2,78.07
43275,TIRUPATHI,13.67,79.58
43277,TIRUTTANI,13.15,79.53
43278,NUMGAMBAKKAM,13.07,80.2
43279,CHENNAI/MINAMBAKKAM,13,80.18
43284,MANGALORE/BAJPE,12.92,74.88
43285,MANGALORE/PANAMBUR,12.95,74.83
43287,MADIKERI,12.42,75.73
43289,MANDYA,12.5,76.83
43291,MYSORE,12.3,76.7
43295,BANGALORE,12.97,77.58
43296,BANGALORE/HINDUSTAN AIRPORT,12.95,77.63
43299,KOLAR GOLD FIELDS,12.95,78.3
43301,DHARMAPURI,12.13,78.03
43302,TIRUPPATTUR,12.48,78.57
43303,VELLORE,12.92,79.15
43309,MAYA BANDAR,12.92,92.92
43310,LONG ISLAND,12.42,92.93
43311,AMINIDIVI,11.12,72.73
43314,KOZHIKODE,11.25,75.78
43315,KANNUR,11.83,75.33
43316,NILAMBUR,11.28,76.23
43317,UDHAGAMANDALAM,11.4,76.73
43318,CONOOR,11.35,76.8
43319,COIMBATORE,11,76.97
43320,M.O. KARIPUR AIRPORT,11.13,75.95
43321,COIMBATORE/PEELAMEDU,11.03,77.05
43322,CHAMARAJNAGAR,11.93,76.93
43324,ARIYALUR,11.17,79
43325,SALEM,11.65,78.17
43329,CUDDALORE,11.77,79.77
43330,THANJAVUR,10.78,79.13
43331,M.O.PONDICHERRY,11.97,79.82
43333,PORT BLAIR,11.67,92.72
43334,ANDROTH,10.8,73.98
43335,PALAKKAD,10.77,76.65
43336,COCHIN INT. AIRPORT NEDUMBASSERY,10.15,76.4
43337,KAVARATTI ISLAND,10.53,72.62
43338,ERODE,11.48,77.77
43339,KODAIKANAL,10.23,77.47
43340,YERCAUD,11.75,78.17
43341,VALPARAI,10.28,77
43342,K. PARAMATHY,10.95,78.08
43343,TIRUCHIRAPALLI TOWN,10.77,78.72
43344,TIRUCHCHIRAPALLI,10.77,78.72
43345,KUDIMIAMALAI,10.4,78.67
43346,KARAIKAL,10.92,79.83
43347,NAGAPPATTINAM,10.77,79.85
43348,ATIRAMAPATTINAM,10.33,79.38
43349,VEDARANNIYAM,10.37,79.85
43351,FORT COCHIN,9.97,76.23
43352,ALAPUZHA,9.55,76.42
43354,PUNALUR,9,76.92
43355,KOTTAYAM,9.53,76.6
43356,PERIAKULUM,10,77.13
43357,THRISSUR,10.52,76.22
43358,KOVILANGULAM,9.55,78.08
43359,MADURAI,9.92,78.12
43360,MADURAI,9.83,78.08
43361,TONDI,9.73,79.03
43363,PAMBAN,9.28,79.22
43364,HUTBAY,10.58,92.55
43367,CARNICOBAR,9.17,92.83
43369,MINICOY,8.3,73.15
43371,THIRUVANANTHAPURAM,8.48,76.95
43372,THIRUVANANTHAPURAM,8.47,76.95
43373,TRIVANDRUM MET.OBS./THUMBA,8.53,76.87
43376,PALAYANKOTTAI,8.73,77.75
43377,KANNIYAKUMARI,8.08,77.5
43379,TUTICORIN NEWPORT,8.8,78.15
43382,NANCOWRY,7.98,93.53
43385,KONDUL,7.22,93.73
