1,,BISHNUPUR,0.0,3.8,-100%,NR,830.6,908.9,-9%,N
2,,CHANDEL,0.0,3.8,-100%,NR,548.5,908.9,-40%,D
3,,CHURACHANDPUR,0.0,3.8,-100%,NR,426.7,908.9,-53%,D
4,,IMPHAL EAST,0.0,5.1,-100%,NR,893.4,595.5,50%,E
5,,IMPHAL WEST,8.4,7.4,13%,N,882.6,1367.5,-35%,D
6,,SENAPATI,,10.8,,*,,629.7,,*
7,,TAMENGLONG,8.6,15.9,-46%,D,1636.0,3248.8,-50%,D
8,,THOUBAL,,5.1,,*,,595.5,,*
9,,UKHRUL,0.0,9.3,-100%,NR,733.0,861.5,-15%,N
1,,AIZWAL,14.4,11.6,24%,E,1414.9,1244.6,14%,N
2,,CHAMPHAI,6.4,8.7,-26%,D,585.1,1028.1,-43%,D
3,,KOLASIB,37.1,13.2,181%,LE,1507.0,1362.9,11%,N
4,,LAWNGTLAI,3.5,10.4,-66%,LD,969.2,1344.2,-28%,D
5,,LUNGLEI,2.9,11.9,-76%,LD,1148.4,1374.8,-16%,N
6,,MAMIT,25.3,4.1,517%,LE,1206.1,1223.2,-1%,N
7,,SAIHA,9.1,9.8,-8%,N,1054.2,1373.4,-23%,D
8,,SERCHHIP,14.7,9.9,48%,E,637.7,1183.6,-46%,D
1,,DHALAI,2.6,7.9,-68%,LD,1516.8,1076.3,41%,E
2,,GOMATI,0.0,14.1,-100%,NR,1095.1,1160.1,-6%,N
3,,KHOWAI,0.0,10.0,-100%,NR,1495.9,1057.8,41%,E
4,,NORTH TRIPURA,15.2,6.8,123%,LE,1525.0,1116.0,37%,E
5,,SIPAHIJALA,0.3,10.0,-98%,LD,753.8,1084.5,-30%,D
6,,SOUTH TRIPURA,0.9,8.1,-89%,LD,1959.8,1407.5,39%,E
7,,UNAKOTI,26.3,8.1,224%,LE,1460.1,1144.2,28%,E
8,,WEST TRIPURA,0.1,8.2,-99%,LD,1265.8,972.9,30%,E
1,,GANGTOK,2.3,17.4,-87%,LD,1703.9,1751.6,-3%,N
2,,GYALSHING,0.0,17.1,-100%,NR,1675.0,1435.8,17%,N
3,,MANGAN,12.9,11.4,13%,N,1674.0,1230.8,36%,E
4,,NAMCHI,0.0,13.6,-100%,NR,1504.1,1304.7,15%,N
5,,PAKYONG,0.3,10.1,-97%,LD,1320.6,1291.6,2%,N
6,,SORENG,0.0,17.1,-100%,NR,1545.0,1435.8,8%,N
1,,ALIPURDUAR,0.0,24.1,-100%,NR,2827.7,2473.7,14%,N
